#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
154,"Scared Of Fear","Pearl Jam",46,168,"undefined","Dark Matter",2024-04-19,04:24,26,92,0,0,36,10,10,-4,,4,2025-08-22,5zAga8KU22nzojKc6ZBWOV,,USUG12309751
155,"Dilemma","Green Day",61,120,"undefined","Saviors",2024-01-19,03:18,55,89,0,0,67,0,20,-3,,4,2025-08-22,4NrGMEm5SvvpJ9Tk1Rq3cP,,USRE12201093
156,"The Emptiness Machine","Linkin Park",78,184,"undefined","The Emptiness Machine",2024-09-05,03:10,47,87,2,0,81,0,10,-3,,4,2025-08-22,2PnlsTsOTLE5jnBnNe2K0A,,USWB12403464
157,"Waves","Bon Jovi",37,160,"undefined","Forever",2024-06-07,03:52,43,78,1,0,34,0,10,-6,,4,2025-08-22,3fRs5XDtcKe3TzFTlsqIOv,,USUG12401207
158,"BYE BYE","Kim Gordon",35,146,"undefined","The Collective",2024-03-08,04:14,59,42,0,56,4,0,10,-9,,4,2025-08-22,3b34EvMAFHcdRBujeo9e6t,,USMTD2300380
159,"Hope","Vampire Weekend",43,148,"undefined","Only God Was Above Us",2024-04-05,07:57,52,66,4,0,35,0,10,-6,,4,2025-08-22,5sBrebz7XnIbwSdWgWasLr,,USSM12400086
160,"Suffocate (feat. Poppy)","Knocked Loose,Poppy",63,170,"undefined","You Won't Go Before You're Supposed To",2024-05-10,02:44,24,99,0,1,12,30,50,-3,,4,2025-08-22,6PXYOVPBzO3xojFhQAvmde,,USSTT2400028
161,"Burn Alive","The Last Dinner Party",57,111,"undefined","Prelude to Ecstasy",2024-02-02,03:21,60,73,0,0,29,0,0,-5,,4,2025-08-22,54wX7jxwKL2TQS9itIIMyJ,,GBUM72309267
162,"Dusk","Chelsea Wolfe",41,96,"undefined","She Reaches Out To She Reaches Out To She",2024-02-09,04:34,37,59,3,5,7,0,10,-6,,4,2025-08-22,2zj5pSP9CoOTCDRfBN2zCq,,USC4R2337037
163,"I Love You Tonite","Johnny Cash",39,87,"undefined","Songwriter",2024-06-28,03:19,69,31,65,0,48,0,0,-10,,4,2025-08-22,1PXOXSHIkcVtvMuHbOefH3,,USUM72403302
164,"Alone","The Cure",48,100,"undefined","Alone",2024-09-26,06:48,46,88,0,21,14,0,30,-5,,4,2025-08-22,7zHhP0CHO4cONkImJ0Oau6,,GBUM72403962
165,"Crossroads feat. Gary Clark Jr.","Slash,Gary Clark Jr.",36,126,"undefined","Orgy of the Damned",2024-05-17,05:34,54,89,0,1,48,0,30,-7,,4,2025-08-22,6IgPgkDiKtlPmrFBhqlTmu,,QZWH32400005
166,"Eternity Has Failed","Bruce Dickinson",33,106,"undefined","The Mandrake Project",2024-03-01,06:58,46,85,0,0,14,0,10,-7,,4,2025-08-22,42dYIi8ZqBoXup6fPyETsJ,,GBCHB2300006
167,"AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw)","Bring Me The Horizon,Lil Uzi Vert,Daryl Palumbo,Glassjaw",59,105,"undefined","POST HUMAN: NeX GEn",2024-05-24,03:09,46,94,0,0,34,10,50,-3,,3,2025-08-22,1EQgXWPkU96b4tw3pJtTp1,,GBARL2300647
168,"Pictures of You","Deep Purple",34,96,"undefined","=1",2024-07-19,03:51,44,91,1,0,19,0,20,-2,,4,2025-08-22,6vS3Tx1vR80vXENELsLv79,,DEH842400081
169,"Light It Up","The Offspring",48,167,"undefined","SUPERCHARGED",2024-10-11,02:52,50,99,0,0,70,10,50,-1,,4,2025-08-22,6Hqpak2C21R2Qd448RGm7a,,USC4R2444621
170,"Raise The Red Flag","Marilyn Manson",52,105,"undefined","One Assassination Under God - Chapter 1",2024-11-22,04:49,50,93,0,0,14,10,0,-4,,4,2025-08-22,6HoG86o30Of44nHXj1g9KT,,DED832400290
171,"West Coast","OneRepublic",55,134,"undefined","Artificial Paradise (Deluxe)",2024-07-12,03:14,69,70,36,0,90,0,0,-8,,4,2025-08-22,3wSKESVpeeRrShLTe3tpN1,,USUM72202540
172,"Mother Nature","MGMT",45,82,"undefined","Loss Of Life",2024-02-23,03:56,43,74,15,0,44,0,0,-5,,4,2025-08-22,2oneWrwEcphxoHzOUyod7e,,USQE92300110
173,"King of Sweden","Future Islands",53,140,"undefined","People Who Aren’t There Anymore",2024-01-26,04:11,61,83,1,53,66,0,10,-6,,4,2025-08-22,72sMWFwbQq4kQ6EqnWdUZf,,GBAFL2200001
174,"Edin","The Smashing Pumpkins",46,108,"undefined","Aghori Mhori Mei",2024-08-02,06:46,57,66,0,31,7,0,10,-7,,4,2025-08-22,2ke0JieG5ZSc0hP7xouNeR,,QM6P42495479
175,"Conversion","Nick Cave & The Bad Seeds",42,134,"undefined","Wild God",2024-08-30,05:17,25,42,39,0,7,0,40,-8,,4,2025-08-22,2LBajJfEirkXT6ja0XzIHf,,GBSG42400006
176,"Savage Funk","Anitta",60,130,"undefined","Funk Generation",2024-04-26,01:23,89,68,22,0,39,10,10,-5,,4,2025-08-22,5ZfMBw3QdSMAHSEDa8FoA0,,USUG12402056
177,"Capa De Revista","Anitta",57,130,"undefined","Ensaios Da Anitta",2024-12-06,02:22,76,94,5,0,60,0,0,-2,,4,2025-08-22,0PNwMRlZgwoWVe0idfGQPH,,BRUM72402721
178,"Maliciosa - Ao Vivo","LUDMILLA",68,176,"undefined","Maliciosa (Ao Vivo)",2024-01-18,02:47,61,81,81,0,68,10,30,-7,,4,2025-08-22,3vCH7bgO37Cx4dOIUlX9sv,,BKSQE2400001
179,"Lua","Ana Castela,Hungria,Alok",54,130,"undefined","Boiadeira Internacional (Ao Vivo)",2024-02-23,03:26,67,84,31,0,34,0,20,-4,,4,2025-08-22,6r6wTVl7sBndpdlzBSEYnF,,BKA7Y2400021
180,"Isso é Sério","Matuê,Brandão85",71,80,"undefined","333",2024-09-09,04:45,64,81,36,0,58,20,10,-3,,4,2025-08-22,3Sa2gVQioE31DcG4nKNDqD,,BXW922400055
181,"Nosso Primeiro Beijo - Ao Vivo","Gloria Groove",74,134,"undefined","Serenata da GG, Vol. 1 (Ao Vivo)",2024-05-30,02:48,51,68,72,0,68,0,90,-7,,4,2025-08-22,7Elw15XWLpOi4qzHyAwa9e,,BXSBS2300055
182,"Torce o Olho - Ao Vivo","Gusttavo Lima,Hugo & Guilherme",53,144,"undefined","Paraíso Particular (Ao Vivo)",2024-04-11,02:47,67,70,49,0,71,0,80,-5,,4,2025-08-22,1CJnFX2V9CEUWrnrNGa60b,,BXBAL2300132
183,"ESCADA DO PRÉDIO","PEDRO SAMPAIO,Marina Sena",60,132,"undefined","ESCADA DO PRÉDIO",2024-09-03,02:17,89,53,56,0,78,0,10,-5,,4,2025-08-22,560vXBs6hssdrdOw13QPl9,,BRWMB2400943
184,"PASSADO DE UM VILÃO","Alee",61,140,"undefined","CAOS",2024-09-23,02:44,64,76,3,0,58,0,50,-8,,4,2025-08-22,5gXH6r92zVkhgP1BF73J4b,,BKNDN2400089
185,"Embalo","Ryu, The Runner,Yunk Vino,Teto",54,93,"undefined","SEMRÉH",2024-05-23,03:05,54,60,16,0,58,30,10,-6,,5,2025-08-22,616O3f20hgTgpmiZf7XgEI,,BRRGE2400153
186,"CÂMERA LENTA","Nagalli,Supernova Ent,Ryu, The Runner,Luccas Carlos",50,128,"undefined","MAGIC SHOW",2024-04-25,02:54,83,56,37,0,65,10,20,-5,,3,2025-08-22,0xDEgXt5rP6I5uwJoFk0kR,,BKSUV2400019
187,"Não Temos Medo","Tz da Coronel",68,128,"undefined","Direto da Selva",2024-06-27,02:15,76,48,64,0,70,10,30,-7,,4,2025-08-22,5rRlZJz8A17nqeKLdjDvsx,,BC2TS2400013
188,"Erasmo Esteves (Tijuca Maluca)","Erasmo Carlos,Rubel,Emicida",27,172,"undefined","Erasmo Esteves",2024-05-03,04:34,55,69,74,0,90,0,50,-10,,4,2025-08-22,4w4Jqi1hrVol86IBNw4Yql,,BRRGE2400199
189,"Cowabunga!","Jotapê,Nle Doprê,Brennuz,Barretinho,IWally,Marabá",39,144,"undefined","LáDoEsgoto",2024-07-03,03:24,67,78,37,0,50,20,20,-4,,4,2025-08-22,6IeJOZy0YiHhSMEnLQDAsA,,BXJK02400061
190,"Diz Aí Qual é o Plano?","Mc IG,MC Ryan SP,Oruam,MC PH,Mc Poze do Rodo,MC GP,TrapLaudo,Mc Luki,MC GH do 7,MC Nego Micha,Murillo e LT no Beat",61,72,"undefined","Todo Mundo Odeia o IG",2024-03-21,11:43,59,58,35,0,58,50,0,-4,,5,2025-08-22,7pnqm6UEb7SzpDxb53wULT,,BRWMB2400220
191,"Vem Desestressar","MC PH,Vulgo FK,Veigh,Pedro Lotto,prodbyeros",64,124,"undefined","O Cara Do Momento, Vol. 2",2024-04-10,04:03,77,54,34,0,54,0,10,-8,,4,2025-08-23,5jrQZnYInM6YUjr2yFSa3E,,BXG6R2400152
192,"Rainha da Finesse","WIU",67,130,"undefined","Vagabundo de Luxo",2024-07-10,02:46,79,85,55,0,65,0,10,-2,,4,2025-08-22,0w7vodPWFEcuEYvWpbNbOu,,BXW922400005
193,"Diferentão - Ao Vivo","Dilsinho",33,95,"undefined","Diferentão 2 (Ao Vivo)",2024-06-06,03:03,69,80,56,0,91,0,50,-7,,4,2025-08-22,1TfsRE0WGbCxjhWgg164qQ,,BCG3G2400025
194,"Eu vs Me","Yunk Vino,Galdino,Honaiser,Nagalli",45,127,"undefined","M.A.D 2",2024-08-09,02:49,61,51,8,0,56,0,10,-8,,4,2025-08-22,7dwPbTsu0POrSie5xkMGpN,,BXBGP2400037
195,"Vamo Marolar","L7NNON,MC Cabelinho,Palma,HHR",57,119,"undefined","Vamo Marolar",2024-03-28,03:01,94,45,27,0,56,30,10,-6,,4,2025-08-22,6VzrPxShPXVXRLig62vl2p,,BR5TG2400061
196,"Segue o Jogo","Samuel Rosa",32,136,"undefined","Rosa",2024-06-27,03:42,75,65,7,0,82,0,0,-9,,4,2025-08-22,17sbwALPLff4Z1499EYNaF,,BCS162400008
197,"CAJU","Liniker",67,140,"undefined","CAJU",2024-08-19,04:26,65,65,51,0,66,10,50,-7,,4,2025-08-22,7tmvvRmUqzCRjRx9ub8K7i,,BK20B2400014
198,"SAUDADE DE VOCÊ","DUDA BEAT",49,128,"undefined","Tara e Tal",2024-04-12,03:56,78,82,13,0,79,0,40,-7,,4,2025-08-22,76K91k1A3S7GHe5GmALuO9,,BRUM72301394
199,"Vida Rasa","Orochi,Mainstreet,MC Cabelinho,RUXN,Palma",60,125,"undefined","442",2024-02-27,02:05,70,68,18,0,31,0,10,-6,,4,2025-08-22,5t2RXNtjGIzKPGiNYSU6FG,,BCM9A2400005
200,"Supernova","Jão",48,167,"undefined","SUPERNOVA",2024-06-12,03:01,46,74,13,0,14,0,10,-7,,4,2025-08-22,6LVzmx8BF8BFsqnpYKx3C5,,BRUM72400941
